experiment,sequence_length,learning_rate,batch_size,epochs,weight_decay,head,class_weighted,training_time_seconds,validation_loss,accuracy,precision,recall,f1,macro_f1
E1_baseline_bert,32,2e-05,16,3,0.01,baseline,False,75.43165214600003,0.054834821320267166,0.9845360824742269,0.9574468085106383,0.9183673469387755,0.9375,0.9643382352941177
E2_preprocessing_normalized,32,2e-05,16,3,0.01,baseline,False,75.83393369199985,0.05284982753444786,0.9832474226804123,0.9292929292929293,0.9387755102040817,0.934010152284264,0.9622080281716523
E3_sequence_128,128,2e-05,16,3,0.01,baseline,False,191.86693925600002,0.052662298019158144,0.9896907216494846,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9766419842273193
E4_hyperparam_1,32,2e-05,16,3,0.01,baseline,False,77.3546186210001,0.042815467131286096,0.9832474226804123,0.9292929292929293,0.9387755102040817,0.934010152284264,0.9622080281716523
E4_hyperparam_2,32,3e-05,16,3,0.01,baseline,False,76.175460037,0.057383641401633656,0.979381443298969,0.9019607843137255,0.9387755102040817,0.92,0.9540828402366864
E4_hyperparam_3,32,5e-05,16,3,0.01,baseline,False,76.52617305500007,0.06563399650978533,0.9845360824742269,0.93,0.9489795918367347,0.9393939393939394,0.9652656550736315
E5_head_linear,32,2e-05,16,3,0.01,linear,False,76.47739096799978,0.054058205884850434,0.9858247422680413,0.9484536082474226,0.9387755102040817,0.9435897435897436,0.9677418135782174
E5_head_dropout,32,2e-05,16,3,0.01,dropout,False,76.58498647800025,0.06322971103850714,0.9832474226804123,0.9207920792079208,0.9489795918367347,0.9346733668341709,0.9625325444666051
E5_head_dense_dropout,32,2e-05,16,3,0.01,dense_dropout,False,77.12781363000022,0.045627891569521885,0.9806701030927835,0.9029126213592233,0.9489795918367347,0.9253731343283582,0.9571351237889015
E6_imbalance_standard,32,2e-05,16,3,0.01,linear,False,75.66919015299982,0.05692070658551529,0.9780927835051546,0.8932038834951457,0.9387755102040817,0.9154228855721394,0.9514198069607551
E6_imbalance_weighted,32,2e-05,16,3,0.01,linear,True,75.59387828399986,0.09407139351687689,0.9819587628865979,0.9117647058823529,0.9489795918367347,0.93,0.9598224852071007
